Date,Open,High,Low,Close,Adj Close,Volume,SMA_30,SMA_100
7/14/2017,90.80999756,92.61000061,90.58000183,92.25,79.33894348,22235200,,
7/17/2017,91.81999969,91.98999786,91.25,91.38999939,78.59931183,14374200,,
7/18/2017,90.44999695,91.58000183,90.31999969,91.06999969,78.32410431,14719400,,
7/19/2017,91.33999634,91.62000275,91.0,91.19999695,78.43589783,11651200,,
7/20/2017,91.15000153,91.72000122,90.90000153,91.19999695,78.43589783,11561700,,
7/21/2017,91.05999756,91.36000061,90.51999664,90.88999939,78.16928101,10971300,,
7/24/2017,90.95999908,91.54000092,90.91000366,91.27999878,78.50469208,10725100,,
7/25/2017,92.37000275,93.51999664,92.26999664,92.80000305,79.81197357,16447700,,
7/26/2017,93.09999847,93.19000244,91.68000031,91.93000031,79.0637207,11815500,,
7/27/2017,91.83000183,92.05999756,91.16000366,91.55000305,78.73690796,12332400,,
7/28/2017,91.44999695,91.75,90.91000366,91.27999878,78.50469208,9351900,,
7/31/2017,91.51000214,92.36000061,91.5,91.80000305,78.95193481,11520300,,
8/1/2017,92.48999786,93.13999939,92.27999878,93.02999878,80.00976563,12523700,,
8/2/2017,92.87000275,93.20999908,92.51000214,93.11000061,80.07859039,10165600,,
8/3/2017,92.69999695,93.12999725,92.23999786,92.5,79.55395508,11078800,,
8/4/2017,93.5,94.40000153,93.47000122,93.66000366,80.5515976,14324000,,
8/7/2017,93.88999939,94.19000244,93.70999908,94.01999664,80.86122894,7978300,,
8/8/2017,93.94999695,95.22000122,93.59999847,93.68000031,80.56880951,13745400,,
8/9/2017,92.98000336,93.68000031,92.83000183,93.52999878,80.43981171,11214400,,
8/10/2017,92.90000153,93.06999969,92.06999969,92.19000244,79.28733826,13252300,,
8/11/2017,92.12999725,92.66999817,91.23999786,91.41999817,78.62512207,10679500,,
8/14/2017,92.37000275,92.90000153,92.33000183,92.48999786,79.54535675,10994800,,
8/15/2017,93.30999756,93.55999756,92.65000153,92.73000336,79.75177002,8812700,,
8/16/2017,93.04000092,93.23000336,91.87999725,92.08999634,79.20135498,11085400,,
8/17/2017,91.76000214,91.95999908,90.5,90.65000153,77.96287537,13837500,,
8/18/2017,90.30999756,91.54000092,90.19000244,90.73999786,78.04026794,13040700,,
8/21/2017,90.84999847,90.94000244,90.16000366,90.62999725,77.94567871,11502100,,
8/22/2017,91.06999969,91.70999908,91.0,91.55999756,78.74549866,9211800,,
8/23/2017,90.87000275,92.33999634,90.83999634,91.66999817,78.84011841,8811300,,
8/24/2017,91.93000031,92.12000275,91.41000366,91.51999664,78.71109772,8623200,91.995332845,
